Compound ID	Target ID	Target type	Acq. method	Name	S00010449	S00010450	S00010451	S00010452	S00010453	S00010454	S00010455	S00010456	S00010457	S00010458	S00010459	S00010460	S00010461	S00010462	S00010463	S00010464	S00010465	S00010466	S00010467	S00010468	S00010469	S00010470	S00010471	S00010472	S00010473	S00010474	S00010475	S00010476	S00010477	S00010478	S00010479	S00010480	S00010481	S00010482	S00010483	S00010484	S00010485	S00010486	S00010487
U02587	623191	UNIQUE	AQM003	UNKNOWN U02587, BP 112.03745, RT 3.302	44188	120103	46192	78639	81915	88101	85057	57657	95970	93404	127299	102252		98182	111491	83455	90187	51679	66478	106295	58088	49295	44263	37055	80933	66421		94135	90590	97601		72324	96674						
U02628	623946	UNIQUE	AQM003	UNKNOWN U02628, BP 210.11001, RT 3.147	4951071	2676703	7027142	6711674	2841479	5075607	3093263	2943527	5096454	2430784	3944520	3556874		3032795	3457971	4147516	3013595	1475956	1585582	2856879	4309469	2743840	1715458	1077211	3122751	1753754	1119577	2557341	1684367	3338292		2793472	1817605	961346	1027529	751005	885909	1145898	1095914
U02633	743547	UNIQUE	AQM003	UNKNOWN U02633, BP 160.13126, RT .76992	322790	300167	107983	279822	306939	319286	283225	247499	234609	127909		154401		179393	203392	302147	261767	305718	396514	287702	203601	416700	431038	460947	359934	406934	373384	103349	101791	105399		144389	214727	13487139	14544397	17031220	8931458	9524344	7613137
U02642	623704	UNIQUE	AQM003	UNKNOWN U02642, BP 168.04287, RT .533	109120	85723	203513	122230	114572	122578	120061	106056	120454	85805	112004	129882		158044	112204	166108	134135	125836	147683	144109	142366	114511	94647	80022	132997	118688	89283	87068	51711	111165		65678	116029	48856	52331	41254	94709	104528	71999
U02660	743574	UNIQUE	AQM003	UNKNOWN U02660, BP 104.10605, RT 4.20334																																	28216				50997	75163	33656
U02667	743581	UNIQUE	AQM003	UNKNOWN U02667, BP 215.0139, RT 1.09092	1704547	1738963	1070017	1997023	1313397	1780691	1358484	1552929	1817087	1174139	1518349	1718693		2929906	1793915	4494019	3844369	5044807	3720815	4197142	3385322	12181457	16513068		10235847	10522589	9488683	6784603	5584433	6664398		5606741	7157412	5769080			11021122	12743647	
U02694	743608	UNIQUE	AQM003	UNKNOWN U02694, BP 783.07206, RT 3.94479											40356	26141			44451	16040		55065																					
U02696	743610	UNIQUE	AQM003	UNKNOWN U02696, BP 524.56689, RT 4.57576	20010	45017						12074	30044	120521	17080	92040			84817	52106	182988	35106	78769	52714	49571												73417				3465499	213798	579656
U02724	624047	UNIQUE	AQM003	UNKNOWN U02724, BP 228.19589, RT 3.57	847919	1595969	1024756	718325	764138	1341627	893393	532909	1158292	582885	1319175	1031015		1202330	1087620	1123207	931588	736866	787744	1170991	1061925	820119	684959	459905	995399	969763	428084	1156248	859587	971645		1278247	1139456	329160	247981	380052	479213	435120	121619
U02730	743644	UNIQUE	AQM003	UNKNOWN U02730, BP 1043.70736, RT 4.36762														35172	71367	43381	160716	93389		95243	76821	52688	125134	104365	91831	118281		122252	145865	246514		22729	66196	157418	3227300	867667	11100219	4936831	189134
U02735	623962	UNIQUE	AQM003	UNKNOWN U02735, BP 212.36234, RT 3.301				17184		50500				45838	51360			42869			18621	21236	39131	29610					28685	30850						46235	35042						
U02748	743662	UNIQUE	AQM003	UNKNOWN U02748, BP 304.09349, RT 3.50486	224807	654217	262785	247712	279121	583175	287416	191356	324318	224383	476904	373324		455045	561629	530741	424888	276023	277723	570477	407058	454095	401529	191552	670928	420612	41193	668658	459023	561974		646782	727450	226966	177033	203479	126146	143100	55046
U02752	743666	UNIQUE	AQM003	UNKNOWN U02752, BP 829.56184, RT 3.36331										376396	54952	77562							79496	45941	83292				46452	322624	67229					198591							
U02762	743676	UNIQUE	AQM003	UNKNOWN U02762, BP 711.76841, RT 6.16039																									19273												259605	101414	454322
U02802	623273	UNIQUE	AQM003	UNKNOWN U02802, BP 122.0102, RT .461	12788		47795	34481	32128	22145	37021	37598	40025	22668	20859	34517		38295	23307	38585	18447	25430	35151	33650	29256	37283	26449	23894	30499	30737	20256	22353		29507			26061		21748		22709	21912	26257
U02803	623274	UNIQUE	AQM003	UNKNOWN U02803, BP 122.09996, RT .762	2468454	1566665	3102863	2331591	2310443	2294578	2638093	2467100	2646151	1988804	1986789	2491579		2552873	1958311	2767945	2590790	2484989	2739517	2648795	2584828	2217077	2436118	2025276	2770434	2607251	2187833	2174000	1605544	2310899		1309060	2562397	1823044	1381419	1497246	2149884	2071719	1989869
U02809	623391	UNIQUE	AQM003	UNKNOWN U02809, BP 133.06132, RT 3.054	56057653	59311208	55333739	53103854	48679576	44549889	46853607	45630547	60710448	59614616	56753162	54137460		54998506	55623919	54752648	49334871	39477389	46835988	53342913	46025447	42904095	34115448	26980670	46321997	44985658	18863544	47517590	42748965	44788770		42881479	52962028	17102458	15932252	10300854	21874565	24281460	14682207
U02810	623392	UNIQUE	AQM003	UNKNOWN U02810, BP 133.06131, RT 3.437	236584	560405	433482	642874	612042	1019282	570046	395141	811460	317885	678238	911698		609992	336925	449608	354777	289936	306112	581282	633438	494482	406397	205592	504427	414042	97654	499829		400554		630771	436045	131397	89010	112549		57653	38921
U02839	623532	UNIQUE	AQM003	UNKNOWN U02839, BP 142.06202, RT 1.103	580069		536810	484773	387330	288545	628067	452810	277597		173313	124536		535299	415904	323378	147559	448745	286753	341295	190884	402345	270873	267658	379077	256373	92305	124589	65207	163896		92041	354941	215508	160099		90485	204960	48372
U02842	623535	UNIQUE	AQM003	UNKNOWN U02842, BP 164.92861, RT .677				832866	515285		257898	477342	744857	843979	704467				866450																								
U02850	623584	UNIQUE	AQM003	UNKNOWN U02850, BP 282.90475, RT .421	260975	223871	288943	270602	250676	270926	227916	250986	195203	208777	281608	252884		256659	232222	205974	234315	231652	260414	239779	239490	200665	218872	210182	195815	188752	239849	205010	171988	223590		239714	222200	183023	183537	196709	364547	307435	306054
U02871	623302	UNIQUE	AQM003	UNKNOWN U02871, BP 123.31132, RT .762	586490	334345	838861	526983	542262	581832	663800	588273	678977	450002	477837	615777		665939	463434	697212	672354	640578	712454	626451	630214	534204	569892	487691	681778	645758	535668	508158	269088	494489		268331	619988	433824	262811	298002	521990	484432	397341
U02879	623331	UNIQUE	AQM003	UNKNOWN U02879, BP 127.10463, RT 2.594	1515168	1030413	1739720	1740398	1691802	1383034	1840641	1835856	1904555	1519564	1425148	1816050		1754927	1523969	1726584	1798752	1595032	1843335	1716086	1615574	1495618	1725554	1469766	1650596	1628801	1433019	1417560	1345974	1580699		822826	1672296	1275941	1240109	807549	1441153	1469561	1294535
U02880	623332	UNIQUE	AQM003	UNKNOWN U02880, BP 128.10786, RT 2.608	31486727	21107923	36830896	35480870	34779415	28053764	39044511	38535827	41694275	31769042	29150774	37597725		36331727	30248709	36139745	37104516	32877140	37932494	35759585	33137184	30717652	35249018	29909266	34317775	33850410	29036492	30068926	28265565	33423398		16228361	35420940	25650475	24489356	15094233	29313432	29615210	25051042
U02916	623684	UNIQUE	AQM003	UNKNOWN U02916, BP 166.08599, RT 3.53	7946663	18138120	8616603	7920723	8956739	16348288	10537462	5878202	13007290	7326274	13871652	12300149		12545734	13234594	13898465	9343797	6474020	7504070	14714244	11059157	8329795	7147855	4217802	11506493	8082729	953025	13366657	9198407	10753306		12725230	14560206	2665454	2293432	2961873	3869818	3889899	1676217
U02954	623626	UNIQUE	AQM003	UNKNOWN U02954, BP 156.10154, RT 2.984	1109074	372688	1386495	1095929	703035	496560	578490	190689	282736	270992	461973	452776		400908	833662	591001	628463	240621	148545	485562	375034	127428	111388	101505	858835	329349	296846	290801	221259	423460		435933	263384	252110	379808	158298	182479	236749	103819
U02976	623411	UNIQUE	AQM003	UNKNOWN U02976, BP 135.0028, RT .835	298047	486278	99349	270424	208438	285200	194240	265701	181120	458578	395623	181439		274969	359883				410003		178738		215584	175897	147979	191842	389247	265776	423745	190415		362960	157026	119586	64292	441995	378928	440131	85334
U03005	623680	UNIQUE	AQM003	UNKNOWN U03005, BP 164.92958, RT .494	1920915	721569	1061954	828103	514202	1695989	1061177	479634	739124	838236	697440	1274098		1427550	860421	1214597	650623	1271725	1455618	1508725	1430082	838979	420471	1039588	984969	1031067	1088234	775160	691579	524187		1510171	1218075	722388	610981	864981	1267381	1232104	933463
U03041	623634	UNIQUE	AQM003	UNKNOWN U03041, BP 157.08379, RT 2.822	2373064	2456650	2057082	1206863	2237600	3617890	1846974	2207533	1928250	1819212	2420892	2458804		2167800	1771133	765781	1233539	2934237	2211534	2070269	1739136	544909	489791	680093	776580	994152	855730	2831783	729064	2044335		1648723	607477	689958	362852	900515	786756	624997	726554
U03060	623416	UNIQUE	AQM003	UNKNOWN U03060, BP 135.08018, RT 3.6025	115021	842917	158791	340924	182488	1182420	421340	91100	922403	114607	1117903	939369		269659	109455	370490		369525	77489	846593	1333808	96471	386767	217832	136149	92987	37916	1129117	463585	346262		1167537	512443	192178	86804	88001	95550	91603	17627
U03068	623986	UNIQUE	AQM003	UNKNOWN U03068, BP 217.38042, RT 2.7265	24339		26512	23558		33511	20106		16611						43454		22281	45428		31825	18448																		
U03155	623992	UNIQUE	AQM003	UNKNOWN U03155, BP 219.12619, RT 2.4955	189564	304388	74095	156229	186621			168372	296864							83523		75299	71233	67821																			
U03197	623786	UNIQUE	AQM003	UNKNOWN U03197, BP 180.9037, RT .5055	258298	154328	395058	143152	190006	285672	238093	115584	193601	190780	213662	211018		233211	195936	284022	219016	211737	251324	435809	252202	409247	198994	428747	488020	463854	421426	183923	167972	222478		324335	455737	598702	512232	542444	541746	518660	495831
U03218	623567	UNIQUE	AQM003	UNKNOWN U03218, BP 149.06015, RT 2.594	2112857	2736267	1255115	1629392	1482024	1989190	1473504	1418964	1591908	1944808	2254423	1715109		1824586	2253265	1793025	1873001	1922784	1784466	1840226	1439227	1217583	1623018	1694166	1306068	1470672	1619816	2454841	2449693	2155608		2510413	2088427	1714635	1662845	2293695	2124606	2147362	1801610
U03245	623652	UNIQUE	AQM003	UNKNOWN U03245, BP 159.02752, RT 1.11	382584	162372	827646	629785	5666229	8494300	1744508	3358080	41762	55149	86190	75358		675320	253198	187320	93872	925496	461665	267477	55077	821810	1393665	3556060	446809	592234	415467	83677	19976			1178409	63155	2808395	9344737	7759376	648394	547953	10302807
U03248	623850	UNIQUE	AQM003	UNKNOWN U03248, BP 191.36971, RT 1.377	182470	102307	350892	197113	240692	289985	375930	133404	383377	150442	198976	296209		317848	150433	295416	207815	194065	362428	342883	335239	202404	217205	191456	264549	234102	307824	146121	65037	189534		124526	344000	116523	59658	80329	179557	195077	211907
U03281	624001	UNIQUE	AQM003	UNKNOWN U03281, BP 220.93463, RT .428	223479	183894	255410	241708	228503	249362	211014	227071	187406	181836	246351	221392		218484	201442	202395	214828	222758	248983	205313	229114	201677	202768	201246	182838	187116	197769	175652	147968	205819		216170	197055	156180	154123	152532	261687	222932	236888
U03283	624003	UNIQUE	AQM003	UNKNOWN U03283, BP 221.06726, RT 1.334	1534427	1030584	1443721	1518117	1287424	1209854	1487411	1622968	1582868	1452675	1296734	1483188		1656119	1558210	1517387	2869416	1463803	2297076	1811113	1332057	1475038	1439456	1251704	1709323	1593876	1148241	1462435	1267834	1584732		749456	1583847	1097115	1067013	677740	1410148	3766312	1152292
U03291	623574	UNIQUE	AQM003	UNKNOWN U03291, BP 150.17086, RT .895	10861896	10301765	6097014	6153992	5983652	8354483	5695630	5731391	5833572	7509139	8510659	6331019		8075376	9996135	7498241	8747434	7672241	8477086	8100126	7254619	5950733	7129994	7681957	6509241	6353973	5684325	10539527	9384110	9139581		10441818	8669117	2529479	3395698	9212591	7574157	7979525	7217169
U03388	624880	UNIQUE	AQM003	UNKNOWN U03388, BP 357.26141, RT 4.039	122290	308798			46892	655082	559153	474142	970155	25107		331845				437595	433839	46130	320361	494925	428512				490604	378121						535927	144804						
U03433	624452	UNIQUE	AQM003	UNKNOWN U03433, BP 288.92208, RT .429	324711	273654	421403	374522	358485	361084	340125	364061	293215	268491	377908	349232		353384	300748	342626	362947	343699	376943	308755	354440	394384	372367	343985	370347	361175	351676	287895	259001	350289		344379	329172	308472	265641	237814	385609	311678	400845
